1,"'moore is like a progressive bull in a china shop , a provocateur crashing into ideas and special interest groups as he slaps together his own brand of liberalism '"
1,idiotic and ugly
1,"even if the naipaul original remains the real masterpiece , the movie possesses its own languorous charm"
1,"the movie is amateurish , but it 's a minor treat"
1,"some people march to the beat of a different drum , and if you ever wondered what kind of houses those people live in , this documentary takes a look at 5 alternative housing options"
1,the movie plays up the cartoon 's more obvious strength of snazziness while neglecting its less conspicuous writing strength
1,superb production values christian bale 's charisma make up for a derivative plot
1,"an engrossing story that combines psychological drama , sociological reflection , and high octane thriller"
1,"like its predecessor , it 's no classic , but it provides a reasonably attractive holiday contraption , one that families looking for a clean , kid friendly outing should investigate"
1,ranks among willams' best screen work
1,"it 's a drawling , slobbering , lovable run on sentence of a film , a southern gothic with the emotional arc of its raw blues soundtrack"
1,"even if you do n't understand what on earth is going on , this is a movie that will stimulate hours of post viewing discussion , if only to be reminded of who did what to whom and why"
1,"the sight of the spaceship on the launching pad is duly impressive in imax dimensions , as are shots of the astronauts floating in their cabins"
1,"this new zealand coming of age movie is n't really about anything when it 's this rich and luscious , who cares \?"
1,the all french cast is marveilleux
1,"it 's ricci 's best work yet , this girl woman who sincerely believes she can thwart the world 's misery with blind good will"
1,the fast runner' transports the viewer into an unusual space
1,"it may be a somewhat backhanded compliment to say that the film makes the viewer feel like the movie 's various victimized audience members after a while , but it also happens to be the movie 's most admirable quality"
1,a very funny movie
1,imagine a scenario where bergman approaches swedish fatalism using gary larson 's far side humor
1,"a lot of fun , with an undeniable energy sparked by two actresses in their 50s working at the peak of their powers"
1,it 's a very valuable film
1,"director kapur is a filmmaker with a real flair for epic landscapes and adventure , and this is a better film than his earlier english language movie , the overpraised elizabeth"
1,i love the way that it took chances and really asks you to take these great leaps of faith and pays off
1,"take care is nicely performed by a quintet of actresses , but nonetheless it drags during its 112 minute length"
1,"while not all transitions to adulthood are so fraught , there 's much truth and no small amount of poetry in girls ca n't swim"
1,"funny , sexy , devastating and incurably romantic"
1,that death is merely a transition is a common tenet in the world 's religions this deeply spiritual film taps into the meaning and consolation in afterlife communications
1,"a highly personal look at the effects of living a dysfunctionally privileged lifestyle , and by the end , we only wish we could have spent more time in its world"
1,absorbing character study by andr turpin
1,"skins has a desolate air , but eyre , a native american raised by white parents , manages to infuse the rocky path to sibling reconciliation with flashes of warmth and gentle humor"
1,"world traveler might not go anywhere new , or arrive anyplace special , but it 's certainly an honest attempt to get at something"
1,"what enlivens this film , beyond the astute direction of cardoso and beautifully detailed performances by all of the actors , is a note of defiance over social dictates"
1,"a fascinating , bombshell documentary that should shame americans , regardless of whether or not ultimate blame finally lies with kissinger should be required viewing for civics classes and would be public servants alike"
